Incident ID,Incident Date/Time,Agency,Incident Type,Town of Incident,County of Incident,County of Arrest,Arrest Statute,Arresting Agency,Arrestee Gender,Arrestee Age,Count
13D100959,03/31/2013 03:04:00 AM,VSP: Rockingham,Drive/Operate Under Influence|Accident - Property,Rockingham,Windham,Windham,23V1201,VSP: Rockingham,Male,25,1
13A201467,03/31/2013 08:55:00 PM,VSP: Saint Albans,Drive/Operate Under Influence|Accident - Injury,Fairfax,Franklin,Franklin,23V1201,VSP: Saint Albans,Female,37,1
13D301260,04/01/2013 08:00:00 PM,VSP: Royalton,Drive/Operate Under Influence|Accident - Property,Royalton,Windsor,Windsor,23V1201,VSP: Royalton,Male,22,1
13D100996,04/04/2013 01:25:00 AM,VSP: Rockingham,Suspicious Activity / Person|Drive/Operate Under Influence|Accident - Property,Grafton,Windham,Windham,23V1201,VSP: Rockingham,Female,30,1
13B101077,04/05/2013 02:00:00 PM,VSP: Saint Johnsbury,Drive/Operate Under Influence|Accident - Property,St. Johnsbury,Caledonia,Caledonia,23V1201,VSP: Saint Johnsbury,Female,64,1
13A101335,04/07/2013 03:16:00 AM,VSP: Williston,Accident - Injury|Drive/Operate Under Influence,Cambridge,Lamoille,Lamoille,23V1201,VSP: Williston,Male,24,1
13C201154,04/07/2013 09:00:00 PM,VSP: New Haven,Drive/Operate Under Influence|Accident - Injury,Bridport,Addison,Addison,23V1201,VSP: New Haven,Female,26,1
13D101045,04/08/2013 11:50:00 PM,VSP: Rockingham,Drive/Operate Under Influence|Accident - Property,Weathersfield,Windsor,Windsor,23V1201A2#3,VSP: Rockingham,Male,39,1
13D200885,04/09/2013 02:10:00 AM,VSP: Brattleboro,Attempting to Elude Police|Drive/Operate Under Influence|C&N Operation|Recovered Stolen Property|Trespassing|Accident - Injury|Drugs - Possession|Drugs - Other|Burglary|Larceny/Theft - From Motor Vehicle,Whitingham,Windham,Windham,23V1201A3#1,VSP: Brattleboro,Male,19,1
13D200892,04/09/2013 02:04:00 PM,VSP: Brattleboro,Accident - Property|Drive/Operate Under Influence|Accident - Property,Dummerston,Windham,Windham,23V1201A3#1,VSP: Brattleboro,Female,35,1
13D101056,04/10/2013 03:24:00 PM,VSP: Rockingham,Accident - Property|Drive/Operate Under Influence,Westminster,Windham,Windham,23V1201,VSP: Rockingham,Female,60,1
13D301418,04/12/2013 09:03:00 PM,VSP: Royalton,Drive/Operate Under Influence|Accident - Property,Strafford,Orange,Orange,23V1201,VSP: Royalton,Male,38,1
13B300658,04/13/2013 12:11:00 AM,VSP: Bradford,Drive/Operate Under Influence|Accident - Property,Newbury,Orange,Orange,23V1201,VSP: Bradford,Male,19,1
13A201655,04/14/2013 01:30:00 AM,VSP: Saint Albans,Accident - Fatal|Liquor Violations|Drive/Operate Under Influence,Sheldon,Franklin,Franklin,23V1201,VSP: Saint Albans,Male,23,1
13C300990,04/14/2013 09:00:00 PM,VSP: Shaftsbury,Drive/Operate Under Influence|Accident - Injury,Shaftsbury,Bennington,Bennington,23V1201,VSP: Shaftsbury,Male,30,1
13C300990,04/14/2013 09:00:00 PM,VSP: Shaftsbury,Accident - Injury|Drive/Operate Under Influence,Shaftsbury,Bennington,Bennington,23V1201,VSP: Shaftsbury,Male,30,1
13B201123,04/15/2013 06:06:00 PM,VSP: Derby,Accident - Injury|Drive/Operate Under Influence,Brownington,Orleans,Orleans,23V1201,VSP: Derby,Male,53,1
13D200987,04/17/2013 07:48:00 PM,VSP: Brattleboro,Drive/Operate Under Influence|Accident - Injury,Townshend,Windham,Windham,23V1201A2#2,VSP: Brattleboro,Male,49,1
